台湾台(Youtube),#genre#
HBO,http://220.134.196.147:9520/http/60.251.39.91:8081/hls/71/813/ch41.m3u8
HBO HD,http://125.227.210.55:35210/VideoInput/play.ts
三立INEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV01.m3u8
寰宇新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
东森财经新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
MOMO1台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV04.m3u8
MOMO2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV05.m3u8
运通财经,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV06.m3u8
信大,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV07.m3u8
(DW NEWS),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
中视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV09.m3u8
 (故障10),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV10.m3u8
 (Asianet-News),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV11.m3u8
華視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
 (故障13),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV13.m3u8
 (外国台),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV14.m3u8
 (日本ANN-News),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV15.m3u8
(K-POP),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV16.m3u8
民视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV17.m3u8
東森購物,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV18.m3u8
東森購物,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV19.m3u8
CCTV4中文国际,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV20.m3u8
 (HUBER-TURK),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV21.m3u8
凤凰资讯,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV22.m3u8
 新唐人亚太台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV23.m3u8
(ABC NEWS),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV24.m3u8
台视新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV25.m3u8
天才冲冲冲「综艺」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV26.m3u8
ASTRO AWANI,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV27.m3u8
中天新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV28.m3u8
Tokyo Shibuya「东京涩谷」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV29.m3u8
大爱,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV30.m3u8
TVBS新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV31.m3u8
三立NEWS+),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
(CBN NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
萬秀豬王,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV34.m3u8
 (故障35),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV35.m3u8
(INDIA TODAY),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV36.m3u8
 (故障37),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV37.m3u8
(FRANCE 24),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
(NBC NEWS),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV39.m3u8
 (故障40),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV40.m3u8
 幸福空间居家,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV41.m3u8
 MIT台湾志,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV42.m3u8
凤凰中文,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
 (MEDIA-ONE),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV44.m3u8
TBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV45.m3u8
 (故障46),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV46.m3u8
大爱2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV47.m3u8
(ANN NEWS),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV48.m3u8
中天新闻「循环直播」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV49.m3u8
 (TWENTY-FOUR),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV50.m3u8
 (RADIO-CLOCK),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV51.m3u8
CNA,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV52.m3u8
HTB NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV53.m3u8
 美好2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV54.m3u8
 VIVA2台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV55.m3u8
国会频道1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV56.m3u8
国会频道2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV57.m3u8
123 GO LIVE,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV58.m3u8
半岛新闻「英语」,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV59.m3u8
 (故障60),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV60.m3u8
KBS NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV61.m3u8
KANSAI NEWS,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV62.m3u8
 YOYO台,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV63.m3u8
 儿童台1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV64.m3u8
 儿童台2,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV65.m3u8
 儿童台3,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV66.m3u8
 儿童台4,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV67.m3u8
 儿童台5,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV68.m3u8
 (故障),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV69.m3u8
镜新闻,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
中視,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV71.m3u8
 (故障72),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV72.m3u8
 猪哥会社,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV73.m3u8
 (TIMES-NOW),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV74.m3u8
 台湾连续剧,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV75.m3u8
民視戲劇,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV76.m3u8
Taiwan+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV78.m3u8
(待确认79),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV79.m3u8
(待确认80),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV80.m3u8
(待确认81),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV81.m3u8
(待确认82),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV82.m3u8
(待确认83),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV83.m3u8
(待确认909),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV909.m3u8
(待确认910),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV910.m3u8
(待确认911),https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV911.m3u8
大愛1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大愛2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大愛2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
纬来篮球,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
纬来篮球,https://cloud.yumixiu768.com/tmp/123.m3u8
